type,entry_name,playertext,BASQUE,NOTES,,
task,escape the ziggurat,Escape the Ziggurat ,Huye del zigurat.,,,
task,place the 3 hexagons,Place the 3 keys in the Sealed Temple,Coloca las 3 llaves en el templo sellado.,,,
task,go to the boss arena; be defeated by the Heir,Someone waits for you…,Alguien te espera...,,,
activity,get the laurels,Obtain the Hero's greatest treasure…,Consigue el mayor tesoro del héroe...,,,
task,pray at the fuse the swamp,Activate a strange device,Activa un extraño dispositivo.,,,
task,enter the swamp,Enter the Swamp,Accede al pantano.,,,
task,approach the gate,Explore the Swamp,Explora el pantano.,,,
task,pray at the fuse inside the gate,Activate a strange device in the Swamp,Activa un extraño dispositivo en el pantano.,,,
task,pray to open cathedral,Activate another strange device in the Swamp,Activa otro extraño dispositivo en el pantano.,,,
task,pray to activate elevator,Explore the Cathedral,Explora la catedral.,,,
task,enter the lower cathedral,Descend deeper into the Cathedral,Adéntrate más en la catedral.,,,
task,conquer the gauntlet & get the laurels,Conquer the Cathedral and claim its prize,Conquista la catedral y reclama su premio.,,,
activity,get the hero relics,Regain your lost power,Recupera el poder perdido.,,,
task,"Get Page 22/23 (skullcave, shrine locs)",Maybe now you can enter that giant skull in the overworld…,A lo mejor ahora puedes entrar en esa calavera gigante del mundo superior...,,,
task,Get Relic Feather/SP,Regain a lost relic via the Swamp,Recupera una reliquia perdida por el pantano.,,,
task,Get Relic Effigy/DEF,Regain a lost relic via the West Garden,Recupera una reliquia perdida por el jardín del oeste.,,,
task,Get Relic Flower/HP,Regain a lost relic via the Forest Fortress,Recupera una reliquia perdida por la fortaleza del bosque.,,,
task,Get Relic Mushroom/MP,Regain a lost relic via the Great Library,Recupera una reliquia perdida por la gran biblioteca.,,,
subtask,Revisit the Library,"Return to the Library, somehow",Vuelve a la biblioteca de algún modo.,,,
subtask,Defeat the Silver Knight enemies,Defeat the foes of the Library and claim the relic,Derrota a los enemigos de la biblioteca y hazte con la reliquia.,,,
subtask,Pray at the Shine in the Library; Get Relic Mushroom/MP,Regain a lost relic,Recupera una reliquia perdida.,,,
task,Get Relic Tooth/ATT,Regain a lost relic via the East Forest,Recupera una reliquia perdida por el bosque del este.,,,
subtask,Enter the Forest via the far shore,Find a secret way to return to the Forest,Encuentra un camino secreto para volver al bosque.,,,
subtask,Pray at the Shrine in the forest; Get Relic Tooth/ATT,Regain a lost relic,Recupera una reliquia perdida.,,,
task,Get Relic Ash/Potion,Regain a lost relic via the Monastery,Recupera una reliquia perdida a través del monasterio.,,,
subtask,Visit the door in the mountains; enter quarry,Find a hidden path into the Quarry,Encuentra un sendero oculto de acceso a la cantera.,,,
subtask,Defeat the monastery creature,Defeat what lies within the Monastery,Derrota lo que yace más allá del monasterio.,,,
subtask,Pray at the Shrine in the monastery; Get Relic Ash/Potion,Regain a lost relic,Recupera una reliquia perdida.,,,
activity,defeat the Heir,Do what must be done,Haz lo que hay que hacer.,,,
task,defeat the Heir,Defeat the Heir,Derrota al descendiente.,,,
activity,Complete the Manual,Complete the Manual,Completa el manual.,,,
task,Find page 42/43 (leaf 21),Find a page atop a fountain in the Overworld,Encuentra una página sobre una fuente del mundo superior.,,,
task,Understand The Holy Cross,Do you understand The Holy Cross?,¿Entiendes la cruz sagrada?,,,
task,Find page 44/45 (leaf 22),Find a page hidden near a fountain in the Overworld,Encuentra una página escondida cerca de una fuente del mundo superior.,,,
task,Find page 2/3 (leaf 1),Find a page near the very beginning,Encuentra una página cerca del principio del todo.,"""very beginning"" as in the start of the game",,
task,Find page 4/5 (leaf 2),Find a page just outside the Dark Tomb,Encuentra una página justo fuera de la tumba oscura.,,,
task,Find page 8/9  (leaf 4),Find a page just outside the Swamp,Encuentra una página justo fuera del pantano.,,,
task,Find page 10/11 (leaf 5),Find a page in a passage near the very beginning,Encuentra una página en un pasadizo cerca del principio del todo.,,,
task,Find page 14/15 (leaf 7),Find a page in the East Forest,Encuentra una página en el bosque del este.,,,
task,Find page 16/17 (leaf 8),Find a page near the Old House,Encuentra una página cerca de la vieja casa.,,,
task,Find page 18/19 (leaf 9),Find a page near the Well,Encuentra una página cerca del pozo.,,,
task,Find page 20/21 (leaf 10),Find a page near the Door in the Mountains,Encuentra una página cerca de la puerta en las montañas.,,,
task,Find page 22/23 (leaf 11),Find a page in a giant skull,Encuentra una página en una calavera gigante.,,,
task,Find page 24/25 (leaf 12),Find a page in a Temple no longer Sealed,Encuentra una página en un templo ya sin sellar.,,,
task,Find page 26/27 (leaf 13),Find a page in the West Garden,Encuentra una página en el jardín del oeste.,,,
task,Find page 28/29 (leaf 14),Find a page near a giant skull in the overworld,Encuentra una página cerca de una calavera gigante del mundo superior.,,,
task,Find page 30/31 (leaf 15),Find a page below the entrance to the Dark Tomb,Encuentra una página bajo la entrada a la tumba oscura.,,,
subtask,Switch to Daytime via the Bed,Wind back the clock…,Da marcha atrás al reloj...,"as in ""go back in time"" or ""go back to daytime""",,
subtask,Take the secret ladder down; get page,Below the entrance to the Dark Tomb…,Bajo la entrada a la tumba oscura...,,,
task,Find page 6/7 (leaf 3),Find a page somewhere outside the Fortress,Encuentra una página en algún lugar fuera de la fortaleza.,,,
subtask,Switch to Daytime via the Bed,Wind back the clock…,Da marcha atrás al reloj...,,,
subtask,Go to fortress courtyard; get page,Somewhere outside the Fortress,En algún lugar fuera de la fortaleza.,,,
task,Find page 32/33 (leaf 16),"Find a page past a waterfall, under a bridge","Encuentra una página más allá de una cascada, bajo un puente.",,,
task,Find page 34/35 (leaf 17),Find a page Beneath the Well,Encuentra una página bajo el pozo.,,,
subtask,Switch to Daytime via the Bed,Wind back the clock…,Da marcha atrás al reloj...,,,
subtask,Enter the Well; get page,Beneath the Well…,Bajo el pozo...,,,
task,Find page 12/13 (leaf 6),Find a page in the East Belltower,Encuentra una página en el campanario del este.,,,
subtask,Switch to Daytime via the Bed,Wind back the clock…,Da marcha atrás al reloj...,,,
subtask,Go to east belltower; get page,In the East Belltower…,En el campanario del este...,,,
task,Find page 36/37 (leaf 18),Find a page in the Forest Fortress,Encuentra una página en la fortaleza del bosque.,,,
task,Find page 38/39 (leaf 19),Find a page in the Great Library,Encuentra una página en la gran biblioteca.,,,
task,Find page 40/41 (leaf 20),Find another page in the Great Library,Encuentra otra página en la gran biblioteca.,,,
task,Find page 46/47 (leaf 23),Find a well-hidden page in the West Graden,Encuentra una página muy bien escondida en el jardín del oeste.,,,
subtask,Pray at the fuse at the south of the west garden,Activate a strange device in the West Garden,Activa un extraño dispositivo en el jardín del oeste.,,,
subtask,Use the Far Shore to travel to the West Garden; get page,Visit the West Garden via the way of many places…,Visita el jardín del oeste por el camino de muchos lugares...,,,
task,Find page 48/49 (leaf 24),A golden monument overlooks the world. Do you know the Holy Cross?,Un monumento dorado con vistas al mundo. ¿Conoces la cruz sagrada?,,,
task,Find page 50/51 (leaf 25),Find yet another a page in the Great Library,Encuentra una página más en la gran biblioteca.,,,
task,Find page 52/53 (leaf 26),Through the Old House lies a silver door.,Atravesando la vieja casa hay una puerta de plata.,,,
subtask,Enter the Old House/Cave,Return to the Old House…,Vuelve a la vieja casa...,,,
subtask,Know the cross; reveal page,Do you understand The Holy Cross?,¿Entiendes la cruz sagrada?,,,
subtask,Use DPAD to Open door; get page,The silver door,La puerta de plata,,,
task,Find page 54/55 (leaf 27),Find a page…,Encuentra una página...,,,
subtask,Collect at least 10 Fairies,Free a certain number of Fairies and return to their meeting place,Libera una cierta cantidad de hadas y vuelve a su punto de encuentro.,,,
subtask,Go to Behind Waterfall; get page,Visit the Fairy's secret meeting place,Visita el punto de encuentro secreto de las hadas.,,,
task,Find page 0/1 (leaf 0),Find a very special page…,Encuentra una página muy especial...,,,
subtask,Collect the rest of the pages,Find the rest of the pages first,Encuentra antes el resto de las páginas.,,,
subtask,Open the door in the mountains; get page,The Riddle of Page 49,El acertijo de la página 49,,,
activity,Share Your Wisdom,Share your Wisdom,Comparte tu sabiduría.,,,
task,Talk to The Heir,Talk to the Heir,Habla con el descendiente.,,,
activity,Free All Fairies,Free the hidden Fairies,Libera a las hadas ocultas.,,,
task,Free Fairy 1 - Flowers (Upper Overworld),Free a Fairy hidden among flowers,Libera a un hada oculta entre flores.,,,
task,Free Fairy 2 - Flower (Lower Overworld),Free a Fairy hidden among flowers,Libera a un hada oculta entre flores.,,,
task,Free Fairy 3 - Belltower,Free a Fairy hidden in belltower moss,Libera a un hada oculta en el musgo del campanario.,,,
task,Free Fairy 4 - Caustics,Free a Fairy hidden in shimmering reflections,Libera a un hada oculta en reflejos resplandecientes.,,,
task,Free Fairy 5 - Fairy Room/Waterfal,Free a Fairy hidden in its own Meeting Place,Libera a un hada oculta en su propio lugar de reunión.,,,
task,Free Fairy 6 - Temple Interior,"Free a Fairy hidden in a Temple, Sealed no more","Libera a un hada oculta en un templo, ya sin sellar.",,,
task,Free Fairy 7 - Monastery Roof Rocks,Free a Fairy hidden among some quarry rocks,Libera a un hada oculta entre unas rocas de la cantera.,,,
task,Free Fairy 8 - Forest Dancing Ghost,Free a Fairy hidden in an ancient dance,Libera a un hada oculta en un baile ancestral.,,,
task,Free Fairy 9 - Library Carpet,Free a Fairy hidden in an opulent pattern,Libera a un hada oculta en un opulento patrón.,,,
task,Free Fairy 10 - FEZ Tower,Free a Fairy hidden in the maze of a strange tower,Libera a un hada oculta en el laberinto de una extraña torre.,,,
task,Free Fairy 11 - Overworld Weathervane,Free a Fairy hidden in a compass rose,Libera a un hada oculta en una rosa de los vientos.,"""compass rose"" as in ""compass diagram""",,
task,Free Fairy 12 - Old House Tapestry,Free a Fairy hidden in an Old House,Libera a un hada oculta en una vieja casa.,,,
task,Free Fairy 13 - Patrolling Rudeling,Free a Fairy hidden in the habits of a soulless warrior,Libera a un hada oculta en los hábitos de un guerrero sin alma.,,,
task,Free Fairy 14 - Rotating Cube,Free a Fairy hidden in the patterns of a golden cube ,Libera a un hada oculta en los patrones de un guerrero sin alma.,,,
task,Free Fairy 15 - Invisible Maze,Free a Fairy hidden in a path not meant to be seen,Libera a un hada oculta en un sendero que nadie debería ver.,,,
task,Free Fairy 16 - Overworld Fountain,"Free a Fairy hidden among tiles, each with their own number","Libera a un hada oculta entre baldosas, cada una con su propio número.","""tiles"" as in floor tiles",,
task,Free Fairy 17 - West Garden tree,"Free a Fairy hidden among flowers, each with their own number","Libera a un hada oculta entre flores, cada una con su propio número.",,,
task,Free Fairy 18 - West Garden courtyard,Free a Fairy hidden in the tiles of the West Garden,Libera a un hada oculta en las baldosas del jardín del oeste.,,,
task,Free Fairy 19 - Fortress Candles,"Free a Fairy hidden among candles, each with their own number","Libera a un hada oculta entre velas, cada una con su propio número.",,,
task,Free Fairy 20 - Golden Obelisk,Free a Fairy hidden in the golden fragments,Libera a un hada oculta en los fragmentos dorados.,,,
activity,Get All Secret Treasures,Find the Secret Treasures,Encuentra los tesoros dorados.,,,
task,Get Treasure #1 (Mr Mayor),Find Golden Treasure #1,Encuentra el tesoro dorado 1.,,,
task,Get Treasure #2 (Cathedral),Find Golden Treasure #2,Encuentra el tesoro dorado 2.,,,
task,Get Treasure #3 (Windmill),Find Golden Treasure #3,Encuentra el tesoro dorado 3.,,,
task,Get Treasure #4 (Tropical),Find Golden Treasure #4,Encuentra el tesoro dorado 4.,,,
task,Get Treasure #5 (Skulls),Find Golden Treasure #5,Encuentra el tesoro dorado 5.,,,
task,Get Treasure #6 (Item Combo),Find Golden Treasure #6,Encuentra el tesoro dorado 6.,,,
task,Get Treasure #7 (All Fairies),Find Golden Treasure #7,Encuentra el tesoro dorado 7.,,,
task,Get Treasure #8 (Windchime),Find Golden Treasure #8,Encuentra el tesoro dorado 8.,,,
task,Get Treasure #9 (Start; Coffee),Find Golden Treasure #9,Encuentra el tesoro dorado 9.,,,
task,Get Treasure #10 (Kevin block),Find Golden Treasure #10,Encuentra el tesoro dorado 10.,,,
task,Get Treasure #11 (Dusty),Find Golden Treasure #11,Encuentra el tesoro dorado 11.,,,
task,Get Treasure #12 (Transit),Find Golden Treasure #12,Encuentra el tesoro dorado 12.,,,
